CMDLINE C:\Users\Adriaan\AppData\Local\Microsoft\WindowsApps\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\python.exe word_filter.py
MEM 279.527344 1688407731.8744
MEM 279.527344 1688407731.9750
MEM 279.527344 1688407732.0756
MEM 279.527344 1688407732.1764
MEM 279.531250 1688407732.2770
MEM 279.531250 1688407732.3776
MEM 279.531250 1688407732.4781
MEM 279.531250 1688407732.5795
MEM 279.531250 1688407732.6800
MEM 279.531250 1688407732.7807
MEM 279.531250 1688407732.8813
MEM 279.531250 1688407732.9817
MEM 279.597656 1688407733.0821
MEM 279.597656 1688407733.1827
MEM 279.597656 1688407733.2833
MEM 279.597656 1688407733.3838
MEM 279.597656 1688407733.4844
MEM 279.597656 1688407733.5849
MEM 279.597656 1688407733.6855
MEM 279.597656 1688407733.7861
MEM 279.601562 1688407733.8867
MEM 279.601562 1688407733.9873
MEM 279.601562 1688407734.0878
MEM 279.601562 1688407734.1884
